polar1,azimuth1,x1,y1,z1
0.0,0.0,0.0,0.0,1.0
0.0,3.0252100840336134,0.0,0.0,1.0
0.0,6.050420168067227,0.0,0.0,1.0
0.0,9.07563025210084,0.0,0.0,1.0
0.0,12.100840336134453,0.0,0.0,1.0
0.0,15.126050420168067,0.0,0.0,1.0
0.0,18.15126050420168,0.0,0.0,1.0
0.0,21.176470588235293,0.0,0.0,1.0
0.0,24.201680672268907,0.0,0.0,1.0
0.0,27.22689075630252,0.0,0.0,1.0
0.0,30.252100840336134,0.0,0.0,1.0
0.0,33.27731092436974,0.0,0.0,1.0
0.0,36.30252100840336,0.0,0.0,1.0
0.0,39.32773109243698,0.0,0.0,1.0
0.0,42.35294117647059,0.0,0.0,1.0
0.0,45.3781512605042,0.0,0.0,1.0
0.0,48.403361344537814,0.0,0.0,1.0
0.0,51.42857142857143,0.0,0.0,1.0
0.0,54.45378151260504,0.0,0.0,1.0
0.0,57.47899159663865,0.0,0.0,1.0
0.0,60.50420168067227,0.0,0.0,1.0
0.0,63.529411764705884,0.0,0.0,1.0
0.0,66.55462184873949,0.0,0.0,1.0
0.0,69.5798319327731,0.0,0.0,1.0
0.0,72.60504201680672,0.0,0.0,1.0
0.0,75.63025210084034,0.0,0.0,1.0
0.0,78.65546218487395,0.0,0.0,1.0
0.0,81.68067226890756,0.0,0.0,1.0
0.0,84.70588235294117,0.0,0.0,1.0
0.0,87.73109243697479,0.0,0.0,1.0
0.0,90.7563025210084,-0.0,0.0,1.0
0.0,93.78151260504201,-0.0,0.0,1.0
0.0,96.80672268907563,-0.0,0.0,1.0
0.0,99.83193277310924,-0.0,0.0,1.0
0.0,102.85714285714286,-0.0,0.0,1.0
0.0,105.88235294117646,-0.0,0.0,1.0
0.0,108.90756302521008,-0.0,0.0,1.0
0.0,111.9327731092437,-0.0,0.0,1.0
0.0,114.9579831932773,-0.0,0.0,1.0
0.0,117.98319327731092,-0.0,0.0,1.0
0.0,121.00840336134453,-0.0,0.0,1.0
0.0,124.03361344537815,-0.0,0.0,1.0
0.0,127.05882352941177,-0.0,0.0,1.0
0.0,130.08403361344537,-0.0,0.0,1.0
0.0,133.10924369747897,-0.0,0.0,1.0
0.0,136.1344537815126,-0.0,0.0,1.0
0.0,139.1596638655462,-0.0,0.0,1.0
0.0,142.18487394957984,-0.0,0.0,1.0
0.0,145.21008403361344,-0.0,0.0,1.0
0.0,148.23529411764704,-0.0,0.0,1.0
0.0,151.26050420168067,-0.0,0.0,1.0
0.0,154.28571428571428,-0.0,0.0,1.0
0.0,157.3109243697479,-0.0,0.0,1.0
0.0,160.3361344537815,-0.0,0.0,1.0
0.0,163.3613445378151,-0.0,0.0,1.0
0.0,166.38655462184875,-0.0,0.0,1.0
0.0,169.41176470588235,-0.0,0.0,1.0
0.0,172.43697478991595,-0.0,0.0,1.0
0.0,175.46218487394958,-0.0,0.0,1.0
0.0,178.48739495798318,-0.0,0.0,1.0
0.0,181.5126050420168,-0.0,-0.0,1.0
0.0,184.53781512605042,-0.0,-0.0,1.0
0.0,187.56302521008402,-0.0,-0.0,1.0
0.0,190.58823529411765,-0.0,-0.0,1.0
0.0,193.61344537815125,-0.0,-0.0,1.0
0.0,196.63865546218486,-0.0,-0.0,1.0
0.0,199.6638655462185,-0.0,-0.0,1.0
0.0,202.6890756302521,-0.0,-0.0,1.0
0.0,205.71428571428572,-0.0,-0.0,1.0
0.0,208.73949579831933,-0.0,-0.0,1.0
0.0,211.76470588235293,-0.0,-0.0,1.0
0.0,214.78991596638656,-0.0,-0.0,1.0
0.0,217.81512605042016,-0.0,-0.0,1.0
0.0,220.84033613445376,-0.0,-0.0,1.0
0.0,223.8655462184874,-0.0,-0.0,1.0
0.0,226.890756302521,-0.0,-0.0,1.0
0.0,229.9159663865546,-0.0,-0.0,1.0
0.0,232.94117647058823,-0.0,-0.0,1.0
0.0,235.96638655462183,-0.0,-0.0,1.0
0.0,238.99159663865547,-0.0,-0.0,1.0
0.0,242.01680672268907,-0.0,-0.0,1.0
0.0,245.04201680672267,-0.0,-0.0,1.0
0.0,248.0672268907563,-0.0,-0.0,1.0
0.0,251.0924369747899,-0.0,-0.0,1.0
0.0,254.11764705882354,-0.0,-0.0,1.0
0.0,257.1428571428571,-0.0,-0.0,1.0
0.0,260.16806722689074,-0.0,-0.0,1.0
